date_id,date
333,11/29/2022
334,11/30/2022
335,12/1/2022
336,12/2/2022
337,12/3/2022
338,12/4/2022
339,12/5/2022
340,12/6/2022
341,12/7/2022
342,12/8/2022
343,12/9/2022
344,12/10/2022
345,12/11/2022
346,12/12/2022
347,12/13/2022
348,12/14/2022
349,12/15/2022
350,12/16/2022
351,12/17/2022
352,12/18/2022
353,12/19/2022
354,12/20/2022
355,12/21/2022
356,12/22/2022
357,12/23/2022
358,12/24/2022
359,12/25/2022
360,12/26/2022
361,12/27/2022
362,12/28/2022
363,12/29/2022
364,12/30/2022
365,12/31/2022
366,1/1/2023
367,1/2/2023
368,1/3/2023
369,1/4/2023
370,1/5/2023
371,1/6/2023
372,1/7/2023
373,1/8/2023
374,1/9/2023
375,1/10/2023
376,1/11/2023
377,1/12/2023
378,1/13/2023
379,1/14/2023
380,1/15/2023
381,1/16/2023
382,1/17/2023
383,1/18/2023
384,1/19/2023
385,1/20/2023
386,1/21/2023
387,1/22/2023
388,1/23/2023
389,1/24/2023
390,1/25/2023
391,1/26/2023
392,1/27/2023
393,1/28/2023
394,1/29/2023
395,1/30/2023
396,1/31/2023
397,2/1/2023
398,2/2/2023
399,2/3/2023
400,2/4/2023
401,2/5/2023
402,2/6/2023
403,2/7/2023
404,2/8/2023
405,2/9/2023
406,2/10/2023
407,2/11/2023
408,2/12/2023
409,2/13/2023
410,2/14/2023
411,2/15/2023
412,2/16/2023
413,2/17/2023
414,2/18/2023
415,2/19/2023
416,2/20/2023
417,2/21/2023
418,2/22/2023
419,2/23/2023
420,2/24/2023
421,2/25/2023
422,2/26/2023
423,2/27/2023
424,2/28/2023
425,3/1/2023
426,3/2/2023
427,3/3/2023
428,3/4/2023
429,3/5/2023
430,3/6/2023
431,3/7/2023
432,3/8/2023
433,3/9/2023
434,3/10/2023
435,3/11/2023
436,3/12/2023
437,3/13/2023
438,3/14/2023
439,3/15/2023
440,3/16/2023
441,3/17/2023
442,3/18/2023
443,3/19/2023
444,3/20/2023
445,3/21/2023
446,3/22/2023
447,3/23/2023
448,3/24/2023
449,3/25/2023
450,3/26/2023
451,3/27/2023
452,3/28/2023
453,3/29/2023
454,3/30/2023
455,3/31/2023
456,4/1/2023
457,4/2/2023
458,4/3/2023
459,4/4/2023
460,4/5/2023
461,4/6/2023
462,4/7/2023
463,4/8/2023
464,4/9/2023
465,4/10/2023
466,4/11/2023
467,4/12/2023
468,4/13/2023
469,4/14/2023
470,4/15/2023
471,4/16/2023
472,4/17/2023
473,4/18/2023
474,4/19/2023
475,4/20/2023
476,4/21/2023
477,4/22/2023
478,4/23/2023
479,4/24/2023
480,4/25/2023
481,4/26/2023
482,4/27/2023
483,4/28/2023
484,4/29/2023
485,4/30/2023
486,5/1/2023
487,5/2/2023
488,5/3/2023
489,5/4/2023
490,5/5/2023
491,5/6/2023
492,5/7/2023
493,5/8/2023
494,5/9/2023
495,5/10/2023
496,5/11/2023
497,5/12/2023
498,5/13/2023
499,5/14/2023
500,5/15/2023
501,5/16/2023
502,5/17/2023
503,5/18/2023
504,5/19/2023
505,5/20/2023
506,5/21/2023
507,5/22/2023
508,5/23/2023
509,5/24/2023
510,5/25/2023
511,5/26/2023
512,5/27/2023
513,5/28/2023
514,5/29/2023
515,5/30/2023
516,5/31/2023
517,6/1/2023
518,6/2/2023
519,6/3/2023
520,6/4/2023
521,6/5/2023
522,6/6/2023
523,6/7/2023
524,6/8/2023
525,6/9/2023
526,6/10/2023
527,6/11/2023
528,6/12/2023
529,6/13/2023
530,6/14/2023
531,6/15/2023
532,6/16/2023
533,6/17/2023
534,6/18/2023
535,6/19/2023
536,6/20/2023
537,6/21/2023
538,6/22/2023
539,6/23/2023
540,6/24/2023
541,6/25/2023
542,6/26/2023
543,6/27/2023
544,6/28/2023
545,6/29/2023
546,6/30/2023
547,7/1/2023
548,7/2/2023
549,7/3/2023
550,7/4/2023
551,7/5/2023
552,7/6/2023
553,7/7/2023
554,7/8/2023
555,7/9/2023
556,7/10/2023
557,7/11/2023
558,7/12/2023
559,7/13/2023
560,7/14/2023
561,7/15/2023
562,7/16/2023
563,7/17/2023
564,7/18/2023
565,7/19/2023
566,7/20/2023
567,7/21/2023
568,7/22/2023
569,7/23/2023
570,7/24/2023
571,7/25/2023
572,7/26/2023
573,7/27/2023
574,7/28/2023
575,7/29/2023
576,7/30/2023
577,7/31/2023
578,8/1/2023
579,8/2/2023
580,8/3/2023
581,8/4/2023
582,8/5/2023
583,8/6/2023
584,8/7/2023
585,8/8/2023
586,8/9/2023
587,8/10/2023
588,8/11/2023
589,8/12/2023
590,8/13/2023
591,8/14/2023
592,8/15/2023
593,8/16/2023
594,8/17/2023
595,8/18/2023
596,8/19/2023
597,8/20/2023
598,8/21/2023
599,8/22/2023
600,8/23/2023
601,8/24/2023
602,8/25/2023
603,8/26/2023
604,8/27/2023
605,8/28/2023
606,8/29/2023
607,8/30/2023
608,8/31/2023
609,9/1/2023
610,9/2/2023
611,9/3/2023
612,9/4/2023
613,9/5/2023
614,9/6/2023
615,9/7/2023
616,9/8/2023
617,9/9/2023
618,9/10/2023
619,9/11/2023
620,9/12/2023
621,9/13/2023
622,9/14/2023
623,9/15/2023
624,9/16/2023
625,9/17/2023
626,9/18/2023
627,9/19/2023
628,9/20/2023
629,9/21/2023
630,9/22/2023
631,9/23/2023
632,9/24/2023
633,9/25/2023
634,9/26/2023
635,9/27/2023
636,9/28/2023
637,9/29/2023
638,9/30/2023
